Src Port,Dst Port,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Pkt Len Mean,Flow Byts/s,Flow Pkts/s,SYN Flag Cnt,Init Fwd Win Byts,ACK Flag Cnt,RST Flag Cnt
443,63136,6,0.0,1,0,54.0,0,0,0,32630,0,0
63136,443,6,91.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,3872.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,48.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,105246.0,1,0,54.0,0,0,0,32635,0,0
63136,443,6,70.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,11872.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,71.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,40655.0,1,0,54.0,0,0,0,32630,0,0
63136,443,6,87.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,52545.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,53.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,15757.0,1,0,54.0,0,0,0,32635,0,0
63136,443,6,156.0,1,0,2774.0,0,0,0,256,0,0
443,63953,6,80412.0,1,0,54.0,0,0,0,41501,0,0
63953,443,6,89.0,1,0,54.0,0,0,0,64084,0,0
443,63953,6,116.0,1,0,85.0,0,0,0,41501,0,0
63953,443,6,49.0,1,0,54.0,0,0,0,64053,0,0
443,63136,6,71825.0,1,0,54.0,0,0,0,32635,0,0
63136,443,6,109.0,1,0,2774.0,0,0,0,256,0,0
443,63136,6,80025.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,43.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,79918.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,66.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,67785.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,69.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,36092.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,49.0,1,0,1414.0,0,0,0,256,0,0
443,63136,6,19346.0,1,0,54.0,0,0,0,32640,0,0
63136,443,6,89.0,1,0,1414.0,0,0,0,256,0,0
